"Artist","Title","Description","Year","Medium","Dimensions","Copyright","Credit","Department","Floor","Room","Image_Hyperlink","Art_id","View_Status"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM0NSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=7cce1064f53b45ab","277474","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM0NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=9b54c20f04765aed","277475","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM1MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=71d8696f34d6470d","277481","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM1OCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=e307833d29a6e959","277487","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM2MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=9a8477325a21904c","277490","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM2MyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=650f749084836b67","277492","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM2NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=078c288030fb2434","277495","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM2NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=519a8fdac8cf6dcd","277496","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM2OSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=0020ae24624fdf6c","277498","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM3MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=52988a14d53aebfa","277501","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM3NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=a15159ed6e82aaa5","277505","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM3NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=505e7a7d7497d4d7","277506","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM4MSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=3675b8a1cc655cbc","277510","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM4MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=5fdb5fd71cc42887","277511","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM4MyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=00d7d15a68cebdbd","277512","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM4NCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=56a87a2d4366e9e9","277513","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM4NiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=1033d6e3b7eec5a5","277515","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM4NyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=e37884db1ee4ded5","277516","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","June 24, 1938","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM5MCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=bacf7a1a5947f685","277519","On view"
"Unknown photographer","Untitled","If you would like to reproduce an image of a work of art in MoMA’s collection, or an image of a MoMA publication or archival material (including installation views, checklists, and press releases), please contact Art Resource (publication in North America) or Scala Archives (publication in all other geographic locations).
MoMA licenses archival audio and select out of copyright film clips from our film collection. At this time, MoMA produced video cannot be licensed by MoMA/Scala. All requests to license archival audio or out of copyright film clips should be addressed to Scala Archives at [email protected]. Motion picture film stills cannot be licensed by MoMA/Scala. For access to motion picture film stills for research purposes, please contact the Film Study Center at [email protected]. For more information about film loans and our Circulating Film and Video Library, please visit https://www.moma.org/research-and-learning/circulating-film.
If you would like to reproduce text from a MoMA publication, please email [email protected]. If you would like to publish text from MoMA’s archival materials, please fill out this permission form and send to [email protected].","c. 1938–60","Gelatin silver print","Approx. 2 × 2"" (5.1 × 5.1 cm)","","Gift of Peter J. Cohen","Photography"," Floor 5"," 520","https://www.moma.org/media/W1siZiIsIjQ0MDM5MiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=7b54b1095026ae21","277521","On view"
"Sonja Sekula","The Town of the Poor","The ghostly scaffolding, swooping calligraphic lines, and blue and yellow washes of this painting most likely depict the view from Sekula’s downtown New York studio, which she shared with composer John Cage and choreographer Merce Cunningham. “Looking outside my window,” wrote this Swiss painter and poet, an immigrant to the United States, “I think of all the contemporary American poets and artists who represent their outlook on this strange country and I find myself beginning to realize that I shall be one of them. I shall begin to speak of . . . a future that we begin to feel underneath the current of war and strife and uncertainty.”

		Gallery label from ""Collection 1940s—1970s"", 2019","1951","Oil on canvas","66 × 90"" (167.6 × 228.6 cm)","","Committee on Painting and Sculpture Funds","Painting and Sculpture"," Floor 4"," 401","https://www.moma.org/media/W1siZiIsIjQ2MDcxMSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=59e3bc220ae09a28","280438","On view"
"Sophie Taeuber-Arp","Vertical, Horizontal, Square, Rectangular (Vertical, horizontal, carré, rectangulaire)","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","1917","Gouache, metallic paint, and pencil on paper","8 3/4 × 6 1/4"" (22.2 × 15.9 cm)","© 2022 Artists Rights Society (ARS), New York / VG Bild-Kunst, Bonn","Acquired through the generosity of Marlene Hess and James D. Zirin, and Gift of Judge and Mrs. Henry Epstein (by exchange)","Drawings and Prints"," Floor 3"," 3 East","https://www.moma.org/media/W1siZiIsIjQzMDMwOCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=d390f9b501636309","282265","New on view"
"Hervé Télémaque","No Title (The Ugly American)","Télémaque combines historical figures, literary references, and personal imagery. An ancient Venus is portrayed alongside Toussaint Louverture, who led a revolt against slavery and colonial rule in Haiti in the 1790s, and Fidel Castro, the communist leader of the Cuban Revolution. The words at the top left are from Alfred Jarry’s play King Ubu, a satire about a bloodthirsty dictator. Télémaque completed this painting in Paris, where he had moved after becoming disillusioned with New York; the blond heads screaming “STOP,” as well as the work’s pointed title, convey what the artist called the American city’s racist “atmosphere.” These caricatures join other grotesque, cartoon-like imagery in a kaleidoscopic mix that suggests a recurrent history of chaos and senseless violence.

		Gallery label from Collection 1940s—1970s, 2019","1962/64","Oil on canvas, two panels","77 1/2 x 102 3/8"" (197 x 260 cm)","© Hervé Télémaque. Courtesy of the artist.","Gift of Marie-Josée and Henry R. Kravis in honor of a lovely American, Jerry Speyer","Painting and Sculpture"," Floor 4"," 415","https://www.moma.org/media/W1siZiIsIjQzMzYxNSJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=913d4c7ecffb6c76","282303","On view"
"Zhang Ke","Micro-Hutong, Beijing, China","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","2016","C-print","30 × 24"" (76.2 × 61 cm)","© 2022 Zhang Ke","Committee on Architecture and Design Funds","Architecture and Design"," Floor 1"," 1 South","https://www.moma.org/media/W1siZiIsIjQyNjgwMCJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=86b7b652a543b275","282392","On view"
"Zhang Ke","Micro-Hutong, Beijing, China","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","2016","C-print","14 × 11"" (35.6 × 27.9 cm)","© 2022 Zhang Ke","Committee on Architecture and Design Funds","Architecture and Design"," Floor 1"," 1 South","https://www.moma.org/media/W1siZiIsIjQyNjgwMiJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=ca574d61efe820c0","282393","On view"
"Zhang Ke","Micro-Hutong, Beijing, China","In 2018–19, MoMA collaborated with Google Arts & Culture Lab on a project using machine learning to identify artworks in installation photos. That project has concluded, and works are now being identified by MoMA staff.
If you notice an error, please contact us at [email protected].","2016","C-print","11 × 14"" (27.9 × 35.6 cm)","© 2022 Zhang Ke","Committee on Architecture and Design Funds","Architecture and Design"," Floor 1"," 1 South","https://www.moma.org/media/W1siZiIsIjQyNjgwMyJdLFsicCIsImNvbnZlcnQiLCItcXVhbGl0eSA5MCAtcmVzaXplIDIwMDB4MTQ0MFx1MDAzZSJdXQ.jpg?sha=9192fef93695d114","282394","On view"
